,DL,IL,EL
2724,1,3,9
6389,2,1,3
7018,2,3,6
54,1,2,7
9583,2,4,3
2464,1,2,1
7369,2,5,1
2635,1,2,3
9753,2,3,4
6380,2,4,6
3310,1,1,5
1078,1,2,8
6676,2,3,4
7058,2,3,6
5799,2,1,7
1943,1,3,2
4086,1,3,1
6398,2,2,5
2431,1,1,4
2707,1,3,2
7910,2,5,2
675,1,2,9
3360,1,2,6
7693,2,3,4
7714,2,3,1
649,1,2,5
7280,2,2,2
3053,1,3,4
4014,1,3,1
9550,2,1,4
7116,2,1,4
6815,2,3,5
8312,2,5,2
7557,2,1,1
2622,1,2,3
1551,1,3,3
9440,2,1,4
3120,1,1,1
9338,2,4,1
1001,1,1,10
6108,2,2,7
275,1,3,3
2720,1,3,1
3134,1,2,10
7317,2,5,1
6754,2,2,2
6167,2,2,1
8799,2,5,4
8940,2,5,7
7679,2,5,4
1258,1,1,2
921,1,3,8
1129,1,3,2
1517,1,2,7
6654,2,4,7
8725,2,5,6
3269,1,3,2
6426,2,1,7
467,1,2,4
7001,2,2,4
8755,2,4,4
5585,2,3,7
3036,1,3,2
8956,2,2,6
541,1,1,2
8471,2,3,1
2487,1,2,4
9055,2,1,2
9765,2,1,4
6971,2,5,3
8606,2,3,3
7120,2,1,6
8828,2,2,7
8780,2,5,3
952,1,2,5
3602,1,1,4
1592,1,2,10
7434,2,3,4
9883,2,1,1
6049,2,2,6
5013,1,1,1
9247,2,3,1
4581,1,1,4
4012,1,3,1
3455,1,2,5
6829,2,4,2
7016,2,5,3
3836,1,1,6
577,1,3,1
2968,1,2,9
7218,2,1,6
8812,2,3,7
6258,2,2,7
2408,1,1,10
7463,2,5,7
2802,1,1,3
7002,2,2,5
5017,1,1,2
3015,1,3,7
9390,2,4,7
2396,1,3,8
7448,2,4,3
2825,1,1,9
7330,2,4,5
227,1,2,2
3171,1,1,9
6880,2,3,6
6098,2,1,7
5004,1,2,7
177,1,3,7
1384,1,2,5
5343,2,3,4
1367,1,2,5
5374,2,4,7
1370,1,1,7
3401,1,3,9
7421,2,2,6
2387,1,1,7
7458,2,3,6
314,1,3,6
964,1,3,4
3811,1,3,2
9984,2,2,6
784,1,1,5
184,1,3,3
4424,1,1,1
6392,2,2,7
4003,1,3,1
8899,2,1,4
8380,2,5,5
2750,1,1,6
6470,2,1,4
4578,1,1,7
3846,1,1,6
1616,1,3,2
1335,1,3,9
6244,2,4,2
3542,1,2,2
1496,1,1,10
9709,2,1,3
6925,2,1,4
2061,1,2,8
6032,2,1,7
2226,1,2,3
93,1,1,4
7948,2,3,1
8158,2,5,5
8322,2,1,1
2435,1,2,8
4387,1,2,7
7774,2,1,6
6946,2,1,7
948,1,1,10
2692,1,1,4
5985,2,4,4
8680,2,1,3
2291,1,1,4
8328,2,3,7
1437,1,3,4
6556,2,1,1
8306,2,3,5
9116,2,2,5
9683,2,5,5
9058,2,3,4
4750,1,3,9
1598,1,1,10
5455,2,2,3
3281,1,3,10
6278,2,1,1
4426,1,1,2
4258,1,3,5
8744,2,4,6
3872,1,2,8
2218,1,3,4
1069,1,3,10
495,1,3,1
9870,2,2,1
714,1,2,1
7605,2,1,3
2551,1,2,9
6309,2,5,6
2506,1,2,3
5270,2,1,5
1423,1,2,4
6604,2,2,4
1240,1,3,5
2571,1,1,9
7165,2,3,6
7999,2,3,7
5363,2,4,4
3569,1,3,6
8860,2,4,1
8005,2,2,1
2764,1,3,5
2018,1,1,10
3852,1,2,2
6830,2,5,5
3622,1,2,8
884,1,1,5
6395,2,5,1
4051,1,1,9
4155,1,1,9
1635,1,1,6
653,1,1,1
9241,2,4,6
2388,1,1,8
8477,2,4,2
630,1,2,4
8522,2,4,6
8330,2,3,4
2354,1,2,9
6119,2,4,4
9446,2,1,3
7834,2,2,5
1946,1,3,9
6988,2,1,6
6669,2,5,1
6346,2,2,3
8879,2,1,7
5435,2,5,5
2983,1,3,8
2978,1,1,2
2684,1,3,5
4588,1,3,1
7582,2,5,7
7461,2,3,2
3395,1,3,3
8657,2,1,7
3883,1,1,9
3524,1,2,10
8240,2,1,7
1643,1,2,9
4092,1,1,6
6468,2,1,4
2612,1,3,7
1487,1,1,2
3115,1,2,2
313,1,1,7
5614,2,3,2
1638,1,1,3
6917,2,5,6
5350,2,2,7
2289,1,3,1
4491,1,1,9
1742,1,3,1
931,1,1,2
8731,2,4,4
3746,1,1,7
6209,2,3,1
2365,1,3,1
6570,2,3,5
4567,1,3,1
217,1,1,2
1269,1,1,2
7147,2,2,7
1062,1,3,8
6065,2,1,1
509,1,1,5
3577,1,1,1
438,1,2,1
5730,2,4,2
1945,1,3,3
7265,2,2,3
4490,1,3,5
4489,1,1,10
8319,2,2,7
7049,2,3,3
3838,1,3,10
4861,1,1,9
5696,2,1,5
8469,2,1,6
8478,2,1,2
3987,1,3,2
6157,2,2,1
9458,2,4,1
4784,1,1,8
4057,1,1,3
874,1,2,7
1140,1,1,7
8159,2,4,2
2873,1,3,6
2077,1,1,2
2937,1,1,9
8710,2,1,5
9941,2,2,3
447,1,2,6
2789,1,2,10
8234,2,3,3
5892,2,2,6
2275,1,1,5
5249,2,1,4
5215,2,4,2
8451,2,3,7
8637,2,2,5
6496,2,1,2
4523,1,2,1
4485,1,3,7
8453,2,3,4
5438,2,1,1
9349,2,4,7
7476,2,3,7
4658,1,1,10
1759,1,2,3
8997,2,1,3
6229,2,1,1
7269,2,5,1
5987,2,3,7
926,1,1,5
9248,2,5,4
5664,2,4,2
863,1,1,3
8972,2,5,6
1533,1,1,3
6488,2,1,1
587,1,2,10
4987,1,1,5
7439,2,5,4
4461,1,3,1
3967,1,1,9
1099,1,3,4
7361,2,4,5
2784,1,2,6
9917,2,3,2
596,1,1,6
3717,1,3,8
3436,1,3,6
72,1,2,1
5422,2,3,1
4642,1,2,10
9082,2,1,3
535,1,3,3
1995,1,2,7
7064,2,4,4
1085,1,1,5
1280,1,1,5
2130,1,3,4
8339,2,4,1
2554,1,3,6
448,1,1,6
1962,1,3,2
9869,2,3,6
3654,1,3,2
7019,2,3,1
7813,2,2,4
7326,2,5,2
6764,2,1,3
151,1,3,7
7792,2,2,5
3089,1,3,7
2429,1,3,2
5156,2,5,4
5589,2,4,6
6419,2,2,1
1452,1,1,1
4549,1,1,3
9260,2,1,3
3754,1,2,2
7883,2,1,1
3757,1,3,5
39,1,2,7
9029,2,1,3
2372,1,1,9
3523,1,1,5
5592,2,2,2
8278,2,5,4
3545,1,2,5
6429,2,3,4
2530,1,3,3
6446,2,5,6
3126,1,2,3
6213,2,3,1
2346,1,1,4
1483,1,3,3
13,1,1,3
2676,1,2,1
7991,2,5,4
834,1,2,9
6381,2,5,2
8124,2,3,4
2286,1,2,2
8332,2,4,1
5410,2,3,6
5131,2,1,7
5735,2,3,2
5012,1,2,8
4618,1,1,3
1404,1,3,9
8204,2,3,3
922,1,1,8
7769,2,2,2
8106,2,1,5
2169,1,2,10
142,1,1,6
3513,1,2,8
7324,2,2,7
7242,2,5,5
2600,1,2,9
8577,2,3,3
33,1,2,6
8394,2,5,7
1200,1,1,3
2585,1,3,9
6495,2,4,4
255,1,2,7
2508,1,3,4
9402,2,3,1
2129,1,3,2
6273,2,4,5
3854,1,3,5
397,1,3,2
2920,1,1,7
9244,2,3,1
6581,2,3,6
5606,2,4,7
4882,1,1,6
1524,1,3,8
5733,2,4,4
3104,1,3,1
3082,1,1,3
3674,1,1,6
8335,2,3,5
3982,1,2,3
4678,1,1,7
114,1,3,3
6980,2,3,4
1109,1,2,2
9897,2,1,6
4061,1,1,10
6486,2,5,4
1575,1,3,5
9327,2,1,4
7184,2,1,1
9531,2,1,5
7683,2,2,7
1467,1,3,9
5564,2,2,6
6280,2,3,5
1570,1,1,6
7954,2,4,7
5509,2,1,2
1578,1,3,2
1417,1,2,4
3770,1,1,1
1345,1,2,4
5053,2,4,2
6461,2,3,2
5974,2,1,1
2605,1,3,3
9724,2,2,5
3986,1,2,3
9249,2,5,5
6842,2,3,3
389,1,2,4
5821,2,5,4
6010,2,2,5
4666,1,1,8
6678,2,3,3
7517,2,5,4
997,1,1,5
5948,2,5,1
7646,2,4,5
6400,2,3,5
9812,2,2,3
8588,2,5,4
3316,1,2,9
6491,2,3,5
3910,1,3,6
2900,1,2,1
8504,2,3,1
5649,2,3,2
5444,2,1,4
5180,2,1,2
6373,2,3,6
6211,2,3,4
6744,2,4,3
5572,2,2,5
4737,1,2,3
5847,2,1,5
1155,1,2,5
854,1,1,6
600,1,1,8
7053,2,1,7
1882,1,3,7
5599,2,2,5
8513,2,3,2
2016,1,3,1
635,1,1,7
3605,1,2,9
2405,1,1,4
6508,2,5,5
8543,2,1,1
1541,1,2,6
1373,1,1,9
8233,2,5,7
3031,1,3,5
4875,1,3,7
3188,1,3,10
2334,1,1,2
6047,2,4,1
9032,2,3,3
9792,2,4,5
1038,1,2,2
2145,1,2,9
8951,2,1,4
5040,2,5,2
35,1,3,3
2343,1,2,6
6695,2,5,1
2712,1,3,5
5147,2,1,5
338,1,2,7
9915,2,5,5
7555,2,2,3
4934,1,1,9
6311,2,4,3
3879,1,2,10
1942,1,2,3
7219,2,3,1
4002,1,2,8
6661,2,4,6
441,1,1,5
4356,1,2,1
8634,2,4,1
8280,2,5,7
2519,1,1,2
9685,2,1,7
4945,1,3,4
9826,2,4,2
8683,2,3,5
6956,2,3,5
6681,2,4,5
4495,1,2,4
2973,1,2,8
5896,2,2,6
9794,2,2,1
5633,2,2,6
6530,2,4,2
2502,1,1,10
7237,2,5,1
1305,1,1,9
8579,2,1,2
3243,1,3,10
4808,1,3,1
2406,1,1,4
9180,2,5,4
8177,2,2,6
79,1,1,6
4134,1,2,2
9209,2,2,5
5376,2,3,6
6743,2,3,6
3138,1,3,8
2022,1,3,1
2114,1,3,1
3601,1,3,9
6439,2,4,1
8327,2,5,6
8414,2,2,2
8566,2,1,6
2632,1,3,8
4453,1,2,5
6587,2,4,2
172,1,3,8
281,1,2,3
8544,2,1,2
5941,2,2,2
8065,2,2,6
5427,2,3,2
4781,1,2,1
9739,2,5,5
7408,2,4,2
2689,1,2,5
9945,2,1,2
6944,2,3,2
6053,2,3,1
2860,1,3,9
8059,2,4,6
3251,1,1,10
8679,2,4,4
7938,2,3,7
8511,2,3,4
461,1,2,3
557,1,3,1
1432,1,1,10
5736,2,4,1
5699,2,3,2
7670,2,5,3
4101,1,1,7
5812,2,5,2
8063,2,5,4
6265,2,1,4
4255,1,2,6
8740,2,3,5
2538,1,2,1
1758,1,1,4
6170,2,3,7
8375,2,5,7
4825,1,1,1
8834,2,4,6
2772,1,3,1
4408,1,3,7
4677,1,1,1
4004,1,1,3
9478,2,3,5
6903,2,5,1
730,1,3,7
7372,2,1,7
6579,2,4,1
5652,2,5,2
5802,2,1,5
7475,2,3,1
9923,2,1,1
4182,1,3,9
8758,2,2,7
2979,1,1,8
3338,1,1,4
4144,1,2,3
6937,2,1,4
1093,1,3,6
3074,1,2,5
3438,1,2,2
4468,1,1,8
2748,1,3,4
2417,1,2,3
4576,1,3,7
5732,2,1,6
9147,2,2,5
5844,2,2,4
3552,1,2,7
5854,2,5,2
3768,1,3,3
6564,2,2,4
840,1,1,3
1990,1,1,2
598,1,1,7
5954,2,1,5
202,1,1,7
6983,2,5,7
7737,2,5,6
8257,2,5,2
394,1,3,2
6072,2,4,5
3022,1,3,7
3827,1,2,4
9080,2,3,1
2584,1,1,4
8524,2,1,3
6555,2,1,2
6822,2,4,7
6055,2,1,3
1163,1,1,3
7755,2,3,6
9910,2,2,7
1794,1,2,9
2150,1,2,5
2515,1,3,5
9061,2,4,6
2532,1,1,10
9302,2,4,7
3005,1,3,1
2876,1,2,7
3692,1,2,3
3336,1,3,1
5475,2,4,4
5872,2,1,4
2003,1,1,6
8148,2,1,1
6759,2,4,6
2186,1,1,6
7593,2,4,7
5744,2,2,3
9493,2,4,1
6826,2,4,4
1937,1,2,4
1823,1,3,8
3318,1,2,5
2985,1,2,2
7552,2,4,7
6384,2,3,5
4083,1,2,8
2785,1,1,2
554,1,2,2
4375,1,1,8
108,1,2,3
7093,2,1,5
2053,1,2,9
3248,1,1,9
2775,1,3,5
6990,2,2,7
5819,2,1,7
8861,2,2,2
5962,2,5,6
1576,1,3,9
6583,2,2,3
5769,2,2,5
9857,2,5,4
7363,2,5,6
6001,2,5,1
6064,2,1,5
8763,2,5,3
3420,1,1,7
7564,2,3,1
9853,2,2,6
6371,2,5,6
6040,2,5,6
1382,1,3,5
2066,1,2,3
2593,1,2,6
5354,2,4,5
5045,2,2,2
400,1,1,7
7662,2,4,2
9097,2,3,5
9648,2,3,2
6342,2,4,6
4647,1,1,4
5746,2,3,6
7785,2,2,7
4518,1,1,7
9740,2,5,1
6950,2,3,7
8264,2,1,6
5949,2,4,1
4301,1,2,3
3748,1,3,10
2117,1,2,1
6233,2,2,7
7211,2,4,2
1617,1,2,8
2149,1,1,2
8091,2,3,3
8652,2,5,6
7188,2,3,5
3202,1,1,3
5910,2,3,6
2890,1,1,4
1492,1,1,5
1488,1,3,2
1649,1,2,1
3352,1,3,7
146,1,1,5
3896,1,2,10
9378,2,5,1
4157,1,1,6
4837,1,2,10
6030,2,4,3
889,1,1,8
914,1,1,6
667,1,1,6
3496,1,1,3
1582,1,2,4
1429,1,1,4
2662,1,3,4
8377,2,3,1
4125,1,1,1
6498,2,4,6
4299,1,1,5
9117,2,3,3
2420,1,2,7
3952,1,3,8
4289,1,2,8
5578,2,3,7
7584,2,2,2
4719,1,3,4
1135,1,3,6
141,1,1,9
2832,1,3,1
4346,1,3,8
8224,2,2,6
1655,1,1,9
5817,2,2,7
405,1,3,6
2958,1,3,2
5451,2,4,4
6602,2,1,7
9077,2,3,4
7563,2,1,2
5443,2,4,4
9145,2,3,4
885,1,2,3
1538,1,3,2
8031,2,5,6
5103,2,1,6
1493,1,3,10
7097,2,4,1
908,1,3,2
6657,2,4,4
4521,1,1,6
785,1,3,6
6634,2,5,4
2986,1,2,9
1094,1,3,5
6864,2,4,1
2360,1,3,1
8746,2,5,4
7766,2,3,6
4166,1,2,3
9644,2,5,4
5029,1,1,4
7420,2,5,6
7404,2,3,5
8923,2,5,1
599,1,2,10
5317,2,2,3
8805,2,5,6
6909,2,1,4
1889,1,1,2
6206,2,5,2
2599,1,2,9
9940,2,1,5
3459,1,1,8
1813,1,1,10
331,1,3,5
5134,2,3,7
5405,2,4,1
99,1,1,10
995,1,1,3
1363,1,2,4
449,1,2,3
5055,2,1,6
3728,1,3,1
5123,2,2,1
1089,1,2,5
7334,2,2,6
3677,1,3,4
5912,2,2,3
3949,1,3,3
1976,1,3,9
3432,1,3,4
5241,2,1,7
6625,2,3,4
5169,2,1,5
819,1,1,2
1915,1,3,6
1230,1,3,3
3131,1,3,9
1227,1,2,3
9167,2,1,1
5419,2,2,1
1979,1,3,7
248,1,2,2
1194,1,3,4
3726,1,1,8
8767,2,4,1
1861,1,2,10
7983,2,1,6
7210,2,1,1
4308,1,2,9
4855,1,2,7
5076,2,1,3
1529,1,3,9
3921,1,2,7
8521,2,1,5
7723,2,1,1
7457,2,4,1
4165,1,1,3
9555,2,3,4
6667,2,3,3
2803,1,3,6
3093,1,3,10
2112,1,2,10
9005,2,3,7
4216,1,1,10
9075,2,4,2
2583,1,2,7
4384,1,3,6
1847,1,3,5
6887,2,2,4
3759,1,1,8
4515,1,2,2
7230,2,4,6
4681,1,3,8
7627,2,1,6
6048,2,5,1
6484,2,1,3
8926,2,5,4
9574,2,4,6
5453,2,3,3
1729,1,3,1
5154,2,5,2
1755,1,2,5
6145,2,4,4
8373,2,1,5
8906,2,5,7
1307,1,3,2
7443,2,5,5
5973,2,4,2
6751,2,2,2
1721,1,2,7
9835,2,3,6
7520,2,5,1
6084,2,5,3
1880,1,2,1
2903,1,2,8
2666,1,2,8
5681,2,4,6
3095,1,3,1
7547,2,1,3
9762,2,3,5
4027,1,3,3
1793,1,3,9
2643,1,1,1
5448,2,1,6
5773,2,2,6
5710,2,4,3
508,1,3,1
2652,1,2,2
792,1,3,9
9861,2,2,4
1189,1,3,6
3257,1,3,10
8028,2,3,4
1037,1,2,1
5786,2,2,5
8903,2,3,5
3487,1,3,2
4561,1,3,4
2466,1,2,2
517,1,1,7
9216,2,5,3
4336,1,1,10
1400,1,1,2
2311,1,2,7
8967,2,3,2
8256,2,5,6
5988,2,2,5
7285,2,5,1
312,1,2,9
5331,2,2,7
2399,1,1,2
4366,1,3,8
7750,2,4,4
4932,1,3,1
6845,2,1,1
7451,2,5,2
9352,2,1,7
4405,1,1,8
1322,1,2,10
9885,2,4,1
1615,1,3,10
5684,2,2,4
658,1,1,2
8882,2,5,3
7394,2,5,7
7072,2,2,4
2007,1,2,6
2951,1,3,3
8648,2,1,6
8700,2,4,3
4569,1,1,8
396,1,3,7
3806,1,2,6
1090,1,2,7
5273,2,3,5
8430,2,1,4
2244,1,2,8
1928,1,3,6
3357,1,1,8
4309,1,3,2
6350,2,5,3
1266,1,3,10
2154,1,1,6
5568,2,4,6
5160,2,2,4
9855,2,4,3
7736,2,1,2
4122,1,1,8
1849,1,3,6
1574,1,2,7
3425,1,1,6
7415,2,2,6
7122,2,1,1
4836,1,2,8
340,1,1,8
935,1,2,5
1477,1,1,10
6935,2,1,6
2297,1,1,1
7024,2,2,4
4123,1,2,6
5657,2,4,2
1394,1,3,5
5597,2,5,2
4270,1,3,7
2123,1,2,4
7836,2,1,5
5198,2,3,2
2253,1,3,9
3880,1,3,10
1041,1,3,6
4124,1,3,6
4767,1,2,10
7038,2,4,3
2589,1,1,10
7066,2,1,3
5337,2,3,3
9866,2,4,6
97,1,3,1
9961,2,1,2
701,1,2,6
5772,2,4,4
8920,2,1,1
7871,2,2,3
6549,2,4,7
9365,2,1,4
5549,2,5,6
3250,1,2,8
9346,2,5,7
3669,1,3,4
8607,2,5,3
6533,2,2,2
1337,1,3,1
3535,1,3,6
872,1,3,10
5709,2,2,1
5341,2,4,3
3666,1,1,6
732,1,3,4
3964,1,3,3
3295,1,1,9
109,1,1,8
1213,1,1,6
190,1,3,2
6171,2,4,4
3447,1,3,2
7200,2,1,5
8013,2,1,1
6314,2,4,7
7697,2,2,5
9413,2,1,7
185,1,2,1
6270,2,5,3
3564,1,1,2
3705,1,3,5
6900,2,1,2
2051,1,1,6
2207,1,1,9
8595,2,4,2
7621,2,5,5
6699,2,2,6
2160,1,1,8
9053,2,4,2
6515,2,4,1
9847,2,1,6
8348,2,4,4
3154,1,3,8
6022,2,4,4
6330,2,1,6
8798,2,2,4
3327,1,3,5
5842,2,4,6
4540,1,1,8
6862,2,4,4
4404,1,3,10
7738,2,4,7
5959,2,5,2
370,1,3,6
7105,2,4,4
360,1,3,7
5216,2,2,1
9710,2,4,5
4603,1,1,9
9987,2,4,3
6585,2,1,3
321,1,1,2
6414,2,4,2
5295,2,4,5
2071,1,2,7
2193,1,1,4
5209,2,1,3
4281,1,1,10
7828,2,5,7
8402,2,5,2
5927,2,3,4
6046,2,2,6
2786,1,2,8
1479,1,2,6
6644,2,3,5
9056,2,4,2
7571,2,4,5
8324,2,5,6
304,1,3,4
4706,1,1,8
3845,1,1,8
7059,2,4,1
5473,2,2,6
1010,1,1,9
9613,2,3,6
2827,1,3,2
6510,2,1,1
6279,2,5,3
1359,1,2,9
6913,2,3,5
2468,1,1,4
110,1,2,4
1652,1,3,10
8908,2,2,2
2947,1,1,9
9494,2,3,5
9791,2,1,5
9395,2,4,4
2321,1,3,1
3997,1,1,2
5766,2,2,5
9481,2,1,3
8688,2,5,1
5654,2,3,5
903,1,2,7
6222,2,4,1
8617,2,4,1
733,1,3,4
2769,1,2,2
3194,1,3,3
4824,1,2,1
4912,1,3,3
479,1,2,8
3463,1,3,6
7137,2,5,4
4471,1,3,7
2603,1,3,8
4428,1,1,5
6545,2,1,3
6106,2,2,4
6768,2,2,2
8787,2,2,2
5300,2,5,6
9829,2,3,2
2898,1,2,8
7669,2,5,6
2142,1,1,8
2259,1,1,4
7391,2,2,2
226,1,1,9
6017,2,2,6
4673,1,1,3
7726,2,1,7
8193,2,4,4
3337,1,3,2
5066,2,4,4
5463,2,4,3
7118,2,4,5
7826,2,2,6
6230,2,5,5
8653,2,4,1
638,1,3,7
6366,2,4,6
4236,1,1,10
3083,1,3,2
3147,1,1,5
1888,1,3,1
106,1,3,5
7889,2,4,2
5647,2,4,2
4667,1,1,6
831,1,1,3
2250,1,1,8
2791,1,1,2
2179,1,2,8
4960,1,1,8
4693,1,3,3
3076,1,2,10
9270,2,5,7
8678,2,4,1
8684,2,3,2
6855,2,1,1
8052,2,3,1
7398,2,3,1
4754,1,2,9
1774,1,2,5
4922,1,1,2
3859,1,2,9
9807,2,3,2
8137,2,4,2
3359,1,2,4
8639,2,4,6
2868,1,3,6
6464,2,4,3
62,1,1,6
8135,2,1,5
7253,2,3,2
4210,1,1,2
8444,2,5,4
6156,2,2,4
4317,1,1,1
4214,1,2,2
5345,2,2,2
642,1,1,9
9616,2,4,3
412,1,3,1
8590,2,2,7
7672,2,3,3
4450,1,2,3
1033,1,1,10
8058,2,3,5
463,1,2,8
9643,2,2,2
2984,1,3,6
5935,2,3,5
7779,2,5,2
7292,2,4,7
4398,1,2,6
9546,2,2,4
5602,2,4,3
1002,1,3,3
7958,2,1,5
1614,1,3,2
9634,2,1,4
7131,2,5,4
8898,2,4,4
1175,1,3,2
900,1,3,1
2892,1,3,6
8941,2,3,7
2445,1,1,4
776,1,3,8
4895,1,3,9
7668,2,5,4
9900,2,4,4
7602,2,2,5
6718,2,1,7
4585,1,2,2
6620,2,3,4
5653,2,5,7
1147,1,3,4
9970,2,1,4
6325,2,4,5
4288,1,2,7
4702,1,2,2
520,1,3,1
8252,2,1,6
8017,2,3,5
6492,2,4,4
6682,2,1,7
1047,1,3,6
9041,2,5,6
1031,1,3,1
4947,1,2,8
529,1,3,9
303,1,2,2
6016,2,1,1
8108,2,4,3
3850,1,1,7
1987,1,3,10
1636,1,3,10
1336,1,3,4
3288,1,1,8
5051,2,3,1
2132,1,1,2
4019,1,2,4
2166,1,1,9
7689,2,5,4
2974,1,2,7
7867,2,2,4
3576,1,1,5
3516,1,3,6
3530,1,2,4
8416,2,2,6
2953,1,2,2
4284,1,2,3
8183,2,4,2
5486,2,2,5
3256,1,3,7
5339,2,2,6
9387,2,4,5
7430,2,3,3
6199,2,1,1
7944,2,4,5
7078,2,5,6
7831,2,3,5
8603,2,4,2
8284,2,5,2
4955,1,2,9
2954,1,2,7
8382,2,1,3
3528,1,1,4
6269,2,5,5
9261,2,4,3
7228,2,2,5
7056,2,1,7
1792,1,2,5
9488,2,3,6
1697,1,1,8
2721,1,2,7
6191,2,2,6
7206,2,4,7
8519,2,2,3
7347,2,3,1
9638,2,1,3
6706,2,4,2
1531,1,3,9
7282,2,4,1
8818,2,5,6
955,1,3,6
9309,2,5,2
1319,1,1,1
8,1,2,10
9777,2,2,1
6165,2,4,3
6703,2,5,6
1837,1,1,6
1806,1,1,4
8771,2,2,2
7663,2,5,6
8973,2,5,1
1282,1,1,5
7052,2,5,4
1944,1,2,4
9705,2,2,1
279,1,1,9
542,1,1,5
250,1,2,5
3077,1,2,9
2056,1,1,10
2630,1,2,3
5758,2,1,3
1886,1,1,6
9570,2,4,3
8323,2,4,6
1124,1,3,5
4188,1,3,7
9537,2,5,2
5958,2,4,3
4543,1,3,1
2526,1,3,9
9666,2,4,6
8123,2,4,2
4234,1,3,10
3054,1,3,2
76,1,1,10
5514,2,3,2
4744,1,3,7
7684,2,1,6
5750,2,1,6
1406,1,3,6
543,1,3,10
1986,1,3,6
2626,1,2,1
9761,2,2,6
8222,2,3,2
5106,2,4,4
9627,2,4,4
1455,1,3,4
1764,1,3,7
2079,1,3,1
5721,2,4,3
5022,1,1,10
267,1,1,9
6337,2,4,2
4533,1,3,9
6767,2,1,2
6317,2,2,5
155,1,2,6
2310,1,1,7
7583,2,5,6
3215,1,2,5
6563,2,4,7
7100,2,5,7
4021,1,3,1
6235,2,3,2
4306,1,3,10
9949,2,3,6
4966,1,2,3
3027,1,2,5
9353,2,3,4
9110,2,1,6
5507,2,2,3
7491,2,2,1
4446,1,3,8
3595,1,2,4
721,1,2,6
9594,2,2,7
9118,2,4,1
3514,1,1,8
1589,1,1,7
40,1,2,8
9998,2,1,2
3158,1,2,2
9139,2,2,1
3856,1,1,10
4812,1,2,2
374,1,1,3
9922,2,2,6
9592,2,2,1
8990,2,3,4
9369,2,2,1
2159,1,3,4
3741,1,1,10
7128,2,4,1
1704,1,2,1
260,1,3,4
6149,2,3,7
2430,1,3,3
6331,2,4,6
3371,1,2,1
5075,2,2,7
351,1,3,6
3989,1,3,1
4747,1,1,9
4726,1,3,3
6597,2,4,2
3088,1,1,4
7085,2,3,1
4382,1,3,3
5906,2,5,2
7772,2,5,7
9227,2,3,6
2885,1,3,8
1113,1,1,3
7675,2,3,5
6734,2,2,1
4776,1,3,2
5048,2,3,3
2755,1,2,7
9789,2,5,6
6774,2,2,4
2644,1,2,6
4112,1,3,6
4348,1,3,5
2658,1,3,3
7615,2,3,2
103,1,1,3
2344,1,2,10
5687,2,1,3
7340,2,2,5
3478,1,2,3
7744,2,5,7
8010,2,1,2
4969,1,3,2
7703,2,4,1
2650,1,2,2
168,1,3,1
1332,1,1,6
55,1,2,5
481,1,3,8
8721,2,1,7
1752,1,3,3
2582,1,2,2
7649,2,2,2
3584,1,1,7
6173,2,4,7
500,1,2,8
9089,2,5,4
8227,2,3,4
6120,2,3,1
629,1,1,3
9838,2,2,3
139,1,3,9
1961,1,1,9
707,1,1,5
7080,2,2,3
1566,1,1,5
8845,2,1,7
5871,2,4,1
7961,2,5,1
9074,2,2,4
2460,1,2,8
5861,2,4,2
9578,2,3,6
2969,1,2,9
5150,2,4,3
7390,2,4,1
8486,2,1,4
9579,2,2,1
5869,2,4,2
4701,1,1,7
2654,1,2,9
755,1,2,5
4687,1,1,1
5034,2,4,1
9831,2,1,5
8228,2,4,5
1954,1,1,1
6315,2,4,1
9548,2,3,6
2966,1,2,5
1484,1,2,7
8020,2,4,7
6976,2,1,7
6741,2,4,5
4324,1,2,6
3719,1,3,1
4630,1,2,8
6480,2,3,7
6227,2,3,2
4547,1,3,7
2444,1,1,8
5189,2,4,3
7368,2,5,3
8139,2,1,6
5836,2,5,7
8541,2,4,4
9633,2,3,7
1490,1,3,2
213,1,1,1
9433,2,3,6
7055,2,5,6
700,1,3,2
551,1,2,4
7962,2,1,6
7259,2,3,1
4350,1,2,6
2239,1,3,3
8611,2,2,3
526,1,2,7
7671,2,5,7
6232,2,4,1
4756,1,1,4
531,1,2,5
4914,1,3,1
3657,1,3,1
8061,2,3,4
8791,2,5,3
9990,2,4,3
4145,1,1,8
9282,2,4,6
930,1,3,10
2497,1,1,10
3332,1,3,6
844,1,2,1
6705,2,3,6
6851,2,4,5
3197,1,3,4
4862,1,3,5
7863,2,4,2
1070,1,3,2
8571,2,3,1
7465,2,4,2
4020,1,1,2
9533,2,3,2
7139,2,3,3
5044,2,1,4
780,1,3,3
5779,2,4,4
2197,1,2,2
5176,2,5,5
1698,1,2,2
3529,1,3,3
8842,2,1,2
841,1,1,1
9176,2,3,3
1225,1,2,9
6449,2,4,3
4571,1,1,6
6623,2,4,4
2090,1,2,4
5921,2,4,3
1441,1,1,1
6459,2,5,7
8301,2,1,1
3991,1,1,2
6275,2,3,1
4789,1,1,9
386,1,1,7
8435,2,2,1
1450,1,1,10
5168,2,3,5
9955,2,5,6
3785,1,3,1
6707,2,4,5
718,1,3,6
5136,2,4,6
4735,1,3,8
3399,1,3,10
2529,1,3,8
8030,2,2,7
1388,1,1,8
2642,1,1,7
4370,1,1,1
8166,2,2,7
1824,1,2,3
4388,1,3,5
